Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes,condition,direction
gs_ind_1,Ficolin-1-Rich Granule (GO:0101002),1/159,0.4718955469022648,0.5923795163241197,2.3608641621259916,1.7730033593987022,ADAM8,Stim8hr,positive
gs_ind_1,Intracellular Non-Membrane-Bounded Organelle (GO:0043232),4/874,0.46304815539272365,0.5923795163241197,1.293639176594838,0.9960041378518606,RETREG1;CAPZA1;ADAM8;RRP8,Stim8hr,positive
gs_ind_0,Positive Regulation Of Cell Migration (GO:0030335),1/211,0.5721778820351683,0.5971638157484944,1.7701720290793925,0.9882965202180866,GLIPR2,Stim8hr,positive
gs_ind_1,Vesicle (GO:0031982),1/177,0.5089730278352639,0.6144917319050478,2.117005751566658,1.4297415428090963,ANXA4,Stim8hr,positive
gs_ind_1,Nuclear Membrane (GO:0031965),1/180,0.5148994235993747,0.6144917319050478,2.0811175825103403,1.381411911099032,ANXA4,Stim8hr,positive
gs_ind_1,trans-Golgi Network (GO:0005802),1/183,0.5207557050042778,0.6144917319050478,2.046409298464093,1.335229358988569,GPR108,Stim8hr,positive
gs_ind_1,Cell-Cell Junction (GO:0005911),1/200,0.5526556360536543,0.6393467162189334,1.8694463431305537,1.1086194275494818,PXN,Stim8hr,positive
gs_ind_0,Regulation Of Intracellular Signal Transduction (GO:1902531),1/244,0.6258695620138708,0.6517770166506105,1.5261651421815692,0.7151812790190307,TRAF5,Stim8hr,positive
gs_ind_0,Regulation Of Cell Cycle (GO:0051726),1/251,0.6363790010888377,0.6612807880879662,1.4826710215931773,0.6701094471456397,RRP8,Stim8hr,positive
gs_ind_0,Positive Regulation Of Macromolecule Metabolic Process (GO:0010604),1/255,0.6422539217302496,0.6659379058287621,1.4588914687146515,0.6459556175900066,ADAM19,Stim8hr,positive
gs_ind_0,DNA Repair (GO:0006281),1/259,0.6480357912381061,0.6704785892030621,1.4358478401031594,0.6228842193096519,DDB2,Stim8hr,positive
gs_ind_0,Protein Transport (GO:0015031),1/263,0.653726053811519,0.6749050836326266,1.4135064935064936,0.6008348137734101,IL10RA,Stim8hr,positive
gs_ind_0,Nervous System Development (GO:0007399),1/280,0.6769203302527917,0.6973446505621432,1.3256898140619071,0.5172864105910944,IRF2BPL,Stim8hr,positive
gs_ind_1,Secretory Granule Lumen (GO:0034774),1/237,0.6150626237208031,0.6978595153755266,1.5722339675828048,0.7641547449198725,CTSC,Stim8hr,positive
gs_ind_0,Regulation Of Gene Expression (GO:0010468),3/868,0.6813964120298843,0.7004462041941607,0.991097327373894,0.3801958758557264,SLC39A8;HAVCR2;ADAM19,Stim8hr,positive
gs_ind_0,Proteasome-Mediated Ubiquitin-Dependent Protein Catabolic Process (GO:0043161),1/288,0.6873015913480944,0.7034907080607904,1.287957839262187,0.4829611165968912,UBQLN2,Stim8hr,positive
gs_ind_0,Negative Regulation Of Cell Population Proliferation (GO:0008285),1/288,0.6873015913480944,0.7034907080607904,1.287957839262187,0.4829611165968912,SH2B3,Stim8hr,positive
gs_ind_0,Cellular Response To Oxygen-Containing Compound (GO:1901701),1/291,0.6911096812287343,0.7058769821096902,1.2743441297658165,0.47081502724657176,PXN,Stim8hr,positive
gs_ind_1,Endosome Membrane (GO:0010008),1/279,0.6755991571533102,0.7247336413099146,1.3305587291224634,0.5217857129406718,SNX10,Stim8hr,positive
gs_ind_1,Nuclear Lumen (GO:0031981),2/566,0.6657924128159779,0.7247336413099146,1.0905098024892022,0.4435946870564475,RETREG1;RRP8,Stim8hr,positive
gs_ind_1,Nucleolus (GO:0005730),2/553,0.6531087234335454,0.7247336413099146,1.1174304380742306,0.4760384016671374,RETREG1;RRP8,Stim8hr,positive
gs_ind_1,Cytoplasmic Vesicle Membrane (GO:0030659),1/291,0.6911096812287343,0.7281334141517022,1.2743441297658165,0.47081502724657176,CAMK2G,Stim8hr,positive
gs_ind_1,Neuron Projection (GO:0043005),1/314,0.7188334103338249,0.7440556352578187,1.178628389154705,0.3890954565292846,CAMK2G,Stim8hr,positive
gs_ind_1,Intracellular Organelle Lumen (GO:0070013),2/651,0.7399332364361747,0.7526907060299018,0.941049022642318,0.2834395595213262,CTSC;POGLUT2,Stim8hr,positive
gs_ind_0,DNA Damage Response (GO:0006974),1/345,0.7523741995679532,0.7668120839946303,1.0698421075779567,0.30439305231326946,DDB2,Stim8hr,positive
gs_ind_0,Regulation Of Nucleic Acid-Templated Transcription (GO:1903506),1/386,0.7907738012880507,0.8042337808844431,0.9528357505011201,0.22367182521218743,SLC39A8,Stim8hr,positive
gs_ind_0,Protein Phosphorylation (GO:0006468),1/406,0.8073234349447257,0.8175860209821586,0.9043455516945036,0.1935578961468555,SBK1,Stim8hr,positive
gs_ind_0,Negative Regulation Of Nucleic Acid-Templated Transcription (GO:1903507),1/405,0.8065273165865104,0.8175860209821586,0.9066561785968461,0.19494695526758038,RRP8,Stim8hr,positive
gs_ind_0,Positive Regulation Of Transcription By RNA Polymerase II (GO:0045944),2/768,0.8191920414404403,0.8278515767622209,0.7895373938305728,0.157462763762028,S100A10;IRF2BPL,Stim8hr,positive
gs_ind_1,Cytoskeleton (GO:0005856),1/450,0.8393469789029165,0.8393469789029165,0.8128560353254458,0.142356367990596,CAPZA1,Stim8hr,positive
gs_ind_0,Negative Regulation Of DNA-templated Transcription (GO:0045892),2/853,0.8627365348086533,0.8700170118956462,0.7055771803548619,0.10417559504175405,IRF2BPL;RRP8,Stim8hr,positive
gs_ind_0,Regulation Of Apoptotic Process (GO:0042981),1/551,0.894417267499343,0.8981753232451385,0.6581620014862521,0.07343960539933009,ANXA4,Stim8hr,positive
gs_ind_0,Regulation Of DNA-templated Transcription (GO:0006355),4/1591,0.8931650873434999,0.8981753232451385,0.6656540513081026,0.07520815545189023,SLC39A8;HAVCR2;ANXA4;RRP8,Stim8hr,positive
gs_ind_0,Negative Regulation Of Transcription By RNA Polymerase II (GO:0000122),1/625,0.9225446640765035,0.9225446640765035,0.5765824781036951,0.04648378411475423,IRF2BPL,Stim8hr,positive
gs_ind_0,Positive Regulation Of DNA-templated Transcription (GO:0045893),2/1021,0.9222831559192732,0.9225446640765035,0.5808133156034644,0.0469895350448237,S100A10;IRF2BPL,Stim8hr,positive
gs_ind_0,Positive Regulation Of Mitochondrial Translation (GO:0070131),1/13,0.050572664738463204,0.19102121124280325,30.28969696969697,90.39487757061141,RCC1L,Stim8hr,negative
gs_ind_0,Protein Import Into Nucleus (GO:0006606),2/61,0.02449369037371567,0.19102121124280325,10.783591787230357,40.00000545242415,TNPO2;KPNA2,Stim8hr,negative
gs_ind_0,"Protein Localization To Chromosome, Telomeric Region (GO:0070198)",1/15,0.058127258450452975,0.19102121124280325,26.107628004179727,74.27934922757152,TERT,Stim8hr,negative
gs_ind_0,RNA-templated DNA Biosynthetic Process (GO:0006278),1/17,0.06562293311402424,0.19102121124280325,22.939393939393938,62.48301063201713,TERT,Stim8hr,negative
gs_ind_0,Mitochondrion Organization (GO:0007005),3/141,0.01849944514790085,0.19102121124280325,6.580239407182216,26.25525090708052,TRAK1;RCC1L;TERT,Stim8hr,negative
gs_ind_0,Mitochondrion Distribution (GO:0048311),1/11,0.04295869837470826,0.19102121124280325,36.064935064935064,113.51496476425216,TRAK1,Stim8hr,negative
gs_ind_0,Rac Protein Signal Transduction (GO:0016601),1/17,0.06562293311402424,0.19102121124280325,22.939393939393938,62.48301063201713,FARP2,Stim8hr,negative
gs_ind_0,Mitochondrial Fusion (GO:0008053),1/17,0.06562293311402424,0.19102121124280325,22.939393939393938,62.48301063201713,RCC1L,Stim8hr,negative
gs_ind_0,Receptor Catabolic Process (GO:0032801),1/14,0.05435735474588381,0.19102121124280325,28.043771043771045,81.66837882927426,RNF43,Stim8hr,negative
gs_ind_0,Mesenchyme Development (GO:0060485),1/16,0.06188243244594586,0.19102121124280325,24.421309872922777,67.95275738235718,MEOX1,Stim8hr,negative
gs_ind_0,Magnesium Ion Transport (GO:0015693),1/10,0.03912930776321142,0.19102121124280325,39.864433811802236,129.19598711729856,NIPAL2,Stim8hr,negative
gs_ind_0,Regulation Of Cholesterol Storage (GO:0010885),1/10,0.03912930776321142,0.19102121124280325,39.864433811802236,129.19598711729856,SCARB1,Stim8hr,negative
gs_ind_0,Regulation Of DNA Recombination (GO:0000018),2/38,0.009970884119785115,0.19102121124280325,17.611213105493576,81.1539849230002,H1-0;KPNA2,Stim8hr,negative
gs_ind_0,Regulation Of Gene Expression (GO:0010468),7/868,0.05484507103291346,0.19102121124280325,2.330638221226009,6.76640900566253,TERT;ZNF492;LYL1;ZNF146;UBR5;ZNF488;ZNF281,Stim8hr,negative
gs_ind_0,Regulation Of Hair Cycle (GO:0042634),1/7,0.0275508161589024,0.19102121124280325,58.277389277389275,209.31624639302018,TERT,Stim8hr,negative
gs_ind_0,Regulation Of Integrin Activation (GO:0033623),1/11,0.04295869837470826,0.19102121124280325,36.064935064935064,113.51496476425216,FARP2,Stim8hr,negative
gs_ind_0,Intracellular Protein Transport (GO:0006886),5/273,0.004465194037569878,0.19102121124280325,5.50979188409356,29.815922563542866,XPO5;KPNA2;TRAK1;HSPA9;TNPO2,Stim8hr,negative
gs_ind_0,Import Into Nucleus (GO:0051170),2/61,0.02449369037371567,0.19102121124280325,10.783591787230357,40.00000545242415,TNPO2;KPNA2,Stim8hr,negative
gs_ind_0,Regulation Of Nitric-Oxide Synthase Activity (GO:0050999),2/21,0.003109616606293633,0.19102121124280325,33.00951625693894,190.57238244354005,TERT;SCARB1,Stim8hr,negative
gs_ind_0,High-Density Lipoprotein Particle Remodeling (GO:0034375),1/11,0.04295869837470826,0.19102121124280325,36.064935064935064,113.51496476425216,SCARB1,Stim8hr,negative
gs_ind_0,Heterochromatin Organization (GO:0070828),2/33,0.007584135778270707,0.19102121124280325,20.414825724104073,99.65898555022187,H1-0;UBR5,Stim8hr,negative
gs_ind_0,Heterochromatin Formation (GO:0031507),2/25,0.00439743032673983,0.19102121124280325,27.38210133801272,148.5954056594291,H1-0;UBR5,Stim8hr,negative
gs_ind_0,Regulation Of Nucleic Acid-Templated Transcription (GO:1903506),5/386,0.018250216504712827,0.19102121124280325,3.8419915602091224,15.381714176595533,ZNF492;LYL1;ZNF146;ZNF488;ZNF281,Stim8hr,negative
gs_ind_0,Hematopoietic Stem Cell Differentiation (GO:0060218),1/9,0.03528490233696198,0.19102121124280325,44.557932263814614,149.01509743116418,MEOX1,Stim8hr,negative
gs_ind_0,Regulation Of Post-Transcriptional Gene Silencing By RNA (GO:1900368),1/4,0.015835627064147005,0.19102121124280325,108.25541125541126,448.7720495598028,XPO5,Stim8hr,negative
gs_ind_0,Ganglion Development (GO:0061548),1/7,0.0275508161589024,0.19102121124280325,58.277389277389275,209.31624639302018,TUBB3,Stim8hr,negative
gs_ind_0,NLS-bearing Protein Import Into Nucleus (GO:0006607),1/9,0.03528490233696198,0.19102121124280325,44.557932263814614,149.01509743116418,KPNA2,Stim8hr,negative
gs_ind_0,G Protein-Coupled Acetylcholine Receptor Signaling Pathway (GO:0007213),1/10,0.03912930776321142,0.19102121124280325,39.864433811802236,129.19598711729856,GNA11,Stim8hr,negative
gs_ind_0,Progesterone Receptor Signaling Pathway (GO:0050847),1/9,0.03528490233696198,0.19102121124280325,44.557932263814614,149.01509743116418,UBR5,Stim8hr,negative
gs_ind_0,Negative Regulation Of Cellular Senescence (GO:2000773),1/16,0.06188243244594586,0.19102121124280325,24.421309872922777,67.95275738235718,TERT,Stim8hr,negative
gs_ind_0,Oligodendrocyte Differentiation (GO:0048709),1/12,0.0467731316215209,0.19102121124280325,32.926218708827406,100.83477835598997,ZNF488,Stim8hr,negative
gs_ind_0,Oligodendrocyte Development (GO:0014003),1/12,0.0467731316215209,0.19102121124280325,32.926218708827406,100.83477835598997,ZNF488,Stim8hr,negative
gs_ind_0,Nucleobase-Containing Compound Biosynthetic Process (GO:0034654),1/8,0.03142542442984471,0.19102121124280325,50.5030303030303,174.74745519977472,TERT,Stim8hr,negative
gs_ind_0,Phospholipase C-activating Dopamine Receptor Signaling Pathway (GO:0060158),1/5,0.019755975904713657,0.19102121124280325,84.1919191919192,330.39428584172276,GNA11,Stim8hr,negative
gs_ind_0,"Phototransduction, Visible Light (GO:0007603)",1/4,0.015835627064147005,0.19102121124280325,108.25541125541126,448.7720495598028,GNA11,Stim8hr,negative
gs_ind_0,Neuron Remodeling (GO:0016322),1/7,0.0275508161589024,0.19102121124280325,58.277389277389275,209.31624639302018,FARP2,Stim8hr,negative
gs_ind_0,Neuron Projection Guidance (GO:0097485),2/73,0.03413164652894239,0.19102121124280325,8.965107057890563,30.279920500933873,TUBB3;L1CAM,Stim8hr,negative
gs_ind_0,Polyamine Biosynthetic Process (GO:0006596),1/6,0.02366101942353801,0.19102121124280325,68.87878787878788,257.87710786152064,SRM,Stim8hr,negative
gs_ind_0,Neuron Maturation (GO:0042551),1/13,0.050572664738463204,0.19102121124280325,30.28969696969697,90.39487757061141,FARP2,Stim8hr,negative
gs_ind_0,Polyamine Metabolic Process (GO:0006595),1/11,0.04295869837470826,0.19102121124280325,36.064935064935064,113.51496476425216,SRM,Stim8hr,negative
gs_ind_0,Positive Regulation Of Axon Extension (GO:0045773),1/11,0.04295869837470826,0.19102121124280325,36.064935064935064,113.51496476425216,L1CAM,Stim8hr,negative
gs_ind_0,Positive Regulation Of Cholesterol Storage (GO:0010886),1/4,0.015835627064147005,0.19102121124280325,108.25541125541126,448.7720495598028,SCARB1,Stim8hr,negative
gs_ind_0,Negative Regulation Of Signal Transduction In Absence Of Ligand (GO:1901099),1/16,0.06188243244594586,0.19102121124280325,24.421309872922777,67.95275738235718,TERT,Stim8hr,negative
gs_ind_0,Negative Regulation Of Protein K63-linked Ubiquitination (GO:1900045),1/7,0.0275508161589024,0.19102121124280325,58.277389277389275,209.31624639302018,UBR5,Stim8hr,negative
gs_ind_0,Positive Regulation Of Lipid Storage (GO:0010884),1/15,0.058127258450452975,0.19102121124280325,26.107628004179727,74.27934922757152,SCARB1,Stim8hr,negative
gs_ind_0,Positive Regulation Of Monooxygenase Activity (GO:0032770),2/21,0.003109616606293633,0.19102121124280325,33.00951625693894,190.57238244354005,TERT;SCARB1,Stim8hr,negative
gs_ind_0,Positive Regulation Of Nitric-Oxide Synthase Activity (GO:0051000),2/13,0.0011787342182135703,0.19102121124280325,56.00851636037651,377.68301880343813,TERT;SCARB1,Stim8hr,negative
gs_ind_0,Positive Regulation Of Post-Transcriptional Gene Silencing By RNA (GO:1900370),1/9,0.03528490233696198,0.19102121124280325,44.557932263814614,149.01509743116418,XPO5,Stim8hr,negative
gs_ind_0,Positive Regulation Of Protein Localization To Nucleus (GO:1900182),2/61,0.02449369037371567,0.19102121124280325,10.783591787230357,40.00000545242415,TERT;UBR5,Stim8hr,negative
gs_ind_0,Positive Regulation Of Stem Cell Proliferation (GO:2000648),1/11,0.04295869837470826,0.19102121124280325,36.064935064935064,113.51496476425216,TERT,Stim8hr,negative
gs_ind_0,Negative Regulation Of Extrinsic Apoptotic Signaling Pathway In Absence Of Ligand (GO:2001240),1/16,0.06188243244594586,0.19102121124280325,24.421309872922777,67.95275738235718,TERT,Stim8hr,negative
gs_ind_0,Negative Regulation Of Erythrocyte Differentiation (GO:0045647),1/5,0.019755975904713657,0.19102121124280325,84.1919191919192,330.39428584172276,HSPA9,Stim8hr,negative
gs_ind_0,Positive Regulation Of Triglyceride Biosynthetic Process (GO:0010867),1/9,0.03528490233696198,0.19102121124280325,44.557932263814614,149.01509743116418,SCARB1,Stim8hr,negative
gs_ind_0,Positive Regulation Of Triglyceride Metabolic Process (GO:0090208),1/15,0.058127258450452975,0.19102121124280325,26.107628004179727,74.27934922757152,SCARB1,Stim8hr,negative
gs_ind_0,Positive Regulation Of Viral Life Cycle (GO:1903902),1/17,0.06562293311402424,0.19102121124280325,22.939393939393938,62.48301063201713,KPNA2,Stim8hr,negative
gs_ind_0,Positive Regulation Of Wnt Signaling Pathway (GO:0030177),2/77,0.03762347654907488,0.19102121124280325,8.487403563869734,27.839761989696335,TERT;UBR5,Stim8hr,negative
gs_ind_0,Facultative Heterochromatin Formation (GO:0140718),1/11,0.04295869837470826,0.19102121124280325,36.064935064935064,113.51496476425216,MBD2,Stim8hr,negative
gs_ind_0,Regulation Of Nervous System Process (GO:0031644),1/10,0.03912930776321142,0.19102121124280325,39.864433811802236,129.19598711729856,BEGAIN,Stim8hr,negative
gs_ind_0,Regulation Of Postsynaptic Neurotransmitter Receptor Activity (GO:0098962),1/6,0.02366101942353801,0.19102121124280325,68.87878787878788,257.87710786152064,BEGAIN,Stim8hr,negative
gs_ind_0,Action Potential (GO:0001508),1/17,0.06562293311402424,0.19102121124280325,22.939393939393938,62.48301063201713,GNA11,Stim8hr,negative
gs_ind_0,Regulatory ncRNA Processing (GO:0070918),2/24,0.004055914708512221,0.19102121124280325,28.601374570446737,157.52433113907085,TERT;PNLDC1,Stim8hr,negative
gs_ind_0,Reverse Cholesterol Transport (GO:0043691),1/12,0.0467731316215209,0.19102121124280325,32.926218708827406,100.83477835598997,SCARB1,Stim8hr,negative
gs_ind_0,Cholesterol Import (GO:0070508),1/5,0.019755975904713657,0.19102121124280325,84.1919191919192,330.39428584172276,SCARB1,Stim8hr,negative
gs_ind_0,Somite Development (GO:0061053),1/5,0.019755975904713657,0.19102121124280325,84.1919191919192,330.39428584172276,MEOX1,Stim8hr,negative
gs_ind_0,Cholesterol Efflux (GO:0033344),1/16,0.06188243244594586,0.19102121124280325,24.421309872922777,67.95275738235718,SCARB1,Stim8hr,negative
gs_ind_0,Extrinsic Apoptotic Signaling Pathway In Absence Of Ligand (GO:0097192),1/13,0.050572664738463204,0.19102121124280325,30.28969696969697,90.39487757061141,BCL2L2,Stim8hr,negative
gs_ind_0,Spermidine Metabolic Process (GO:0008216),1/7,0.0275508161589024,0.19102121124280325,58.277389277389275,209.31624639302018,SRM,Stim8hr,negative
gs_ind_0,Stem Cell Differentiation (GO:0048863),2/33,0.007584135778270707,0.19102121124280325,20.414825724104073,99.65898555022187,MEOX1;ZNF281,Stim8hr,negative
gs_ind_0,Telomere Maintenance Via Telomerase (GO:0007004),1/17,0.06562293311402424,0.19102121124280325,22.939393939393938,62.48301063201713,TERT,Stim8hr,negative
gs_ind_0,Cellular Response To Estradiol Stimulus (GO:0071392),1/14,0.05435735474588381,0.19102121124280325,28.043771043771045,81.66837882927426,SSTR1,Stim8hr,negative
gs_ind_0,Toll-Like Receptor 4 Signaling Pathway (GO:0034142),1/15,0.058127258450452975,0.19102121124280325,26.107628004179727,74.27934922757152,PIK3AP1,Stim8hr,negative
gs_ind_0,Toll-Like Receptor 9 Signaling Pathway (GO:0034162),1/5,0.019755975904713657,0.19102121124280325,84.1919191919192,330.39428584172276,PIK3AP1,Stim8hr,negative
gs_ind_0,Acylglycerol Homeostasis (GO:0055090),1/14,0.05435735474588381,0.19102121124280325,28.043771043771045,81.66837882927426,SCARB1,Stim8hr,negative
gs_ind_0,Cell Surface Toll-Like Receptor Signaling Pathway (GO:0140895),1/15,0.058127258450452975,0.19102121124280325,26.107628004179727,74.27934922757152,PIK3AP1,Stim8hr,negative
gs_ind_0,Carbohydrate Derivative Transport (GO:1901264),1/17,0.06562293311402424,0.19102121124280325,22.939393939393938,62.48301063201713,SCARB1,Stim8hr,negative
gs_ind_0,Biogenic Amine Metabolic Process (GO:0006576),1/8,0.03142542442984471,0.19102121124280325,50.5030303030303,174.74745519977472,SRM,Stim8hr,negative
gs_ind_0,cGMP-mediated Signaling (GO:0019934),1/9,0.03528490233696198,0.19102121124280325,44.557932263814614,149.01509743116418,GUCY1A2,Stim8hr,negative
gs_ind_0,piRNA Processing (GO:0034587),1/12,0.0467731316215209,0.19102121124280325,32.926218708827406,100.83477835598997,PNLDC1,Stim8hr,negative
gs_ind_0,miRNA Metabolic Process (GO:0010586),1/14,0.05435735474588381,0.19102121124280325,28.043771043771045,81.66837882927426,XPO5,Stim8hr,negative
gs_ind_0,ncRNA Metabolic Process (GO:0034660),1/14,0.05435735474588381,0.19102121124280325,28.043771043771045,81.66837882927426,XPO5,Stim8hr,negative
gs_ind_0,Axonal Transport Of Mitochondrion (GO:0019896),1/11,0.04295869837470826,0.19102121124280325,36.064935064935064,113.51496476425216,TRAK1,Stim8hr,negative
gs_ind_0,Axon Guidance (GO:0007411),2/89,0.048866936940887375,0.19102121124280325,7.316347569955817,22.085523667228422,TUBB3;L1CAM,Stim8hr,negative
gs_ind_0,Cytoplasmic Translation (GO:0002181),1/9,0.03528490233696198,0.19102121124280325,44.557932263814614,149.01509743116418,EIF4A2,Stim8hr,negative
gs_ind_0,siRNA Processing (GO:0030422),1/7,0.0275508161589024,0.19102121124280325,58.277389277389275,209.31624639302018,TERT,Stim8hr,negative
gs_ind_0,Apoptotic Cell Clearance (GO:0043277),1/17,0.06562293311402424,0.19102121124280325,22.939393939393938,62.48301063201713,SCARB1,Stim8hr,negative
gs_ind_0,Detection Of Visible Light (GO:0009584),1/6,0.02366101942353801,0.19102121124280325,68.87878787878788,257.87710786152064,GNA11,Stim8hr,negative
gs_ind_0,Endolysosomal Toll-Like Receptor Signaling Pathway (GO:0140894),1/11,0.04295869837470826,0.19102121124280325,36.064935064935064,113.51496476425216,PIK3AP1,Stim8hr,negative
gs_ind_0,Regulation Of Stem Cell Proliferation (GO:0072091),1/13,0.050572664738463204,0.19102121124280325,30.28969696969697,90.39487757061141,TERT,Stim8hr,negative
gs_ind_0,DNA Biosynthetic Process (GO:0071897),1/16,0.06188243244594586,0.19102121124280325,24.421309872922777,67.95275738235718,TERT,Stim8hr,negative
gs_ind_0,Regulation Of Protein Localization To Nucleolus (GO:1904749),1/4,0.015835627064147005,0.19102121124280325,108.25541125541126,448.7720495598028,TERT,Stim8hr,negative
gs_ind_0,Establishment Of Protein Localization To Chromosome (GO:0070199),1/12,0.0467731316215209,0.19102121124280325,32.926218708827406,100.83477835598997,TERT,Stim8hr,negative
gs_ind_0,Detection Of Molecule Of Bacterial Origin (GO:0032490),1/4,0.015835627064147005,0.19102121124280325,108.25541125541126,448.7720495598028,SCARB1,Stim8hr,negative
gs_ind_0,Definitive Hemopoiesis (GO:0060216),1/4,0.015835627064147005,0.19102121124280325,108.25541125541126,448.7720495598028,LYL1,Stim8hr,negative
gs_ind_0,Regulation Of Triglyceride Biosynthetic Process (GO:0010866),1/13,0.050572664738463204,0.19102121124280325,30.28969696969697,90.39487757061141,SCARB1,Stim8hr,negative
gs_ind_0,Establishment Of Protein Localization To Organelle (GO:0072594),2/71,0.03243648267387824,0.19102121124280325,9.224579099606913,31.626206369102203,TNPO2;KPNA2,Stim8hr,negative
gs_ind_0,DNA Strand Elongation (GO:0022616),1/11,0.04295869837470826,0.19102121124280325,36.064935064935064,113.51496476425216,TERT,Stim8hr,negative
gs_ind_0,Establishment Of Protein Localization To Telomere (GO:0070200),1/5,0.019755975904713657,0.19102121124280325,84.1919191919192,330.39428584172276,TERT,Stim8hr,negative
gs_ind_0,DNA Methylation-Dependent Heterochromatin Formation (GO:0006346),1/5,0.019755975904713657,0.19102121124280325,84.1919191919192,330.39428584172276,MBD2,Stim8hr,negative
gs_ind_0,Acetylcholine Receptor Signaling Pathway (GO:0095500),1/10,0.03912930776321142,0.19102121124280325,39.864433811802236,129.19598711729856,GNA11,Stim8hr,negative
gs_ind_0,Regulation Of Wnt Signaling Pathway (GO:0030111),2/74,0.03499203354171743,0.19102121124280325,8.840739424102383,29.639771150429016,TERT;RNF43,Stim8hr,negative
gs_ind_0,DNA Repair-Dependent Chromatin Remodeling (GO:0140861),1/16,0.06188243244594586,0.19102121124280325,24.421309872922777,67.95275738235718,UBR5,Stim8hr,negative
gs_ind_0,Protein Localization To Nucleus (GO:0034504),2/106,0.06657031039873894,0.19187912997283577,6.117742810634835,16.576003287817272,TNPO2;KPNA2,Stim8hr,negative
gs_ind_0,Regulation Of Viral Life Cycle (GO:1903900),1/18,0.06934881662501388,0.19794710764809786,21.626839826839827,57.71351876555576,KPNA2,Stim8hr,negative
gs_ind_0,Glial Cell Development (GO:0021782),1/19,0.07306013893868027,0.2007446808221682,20.456183456183457,53.523038520532864,ZNF488,Stim8hr,negative
gs_ind_0,Positive Regulation Of Transcription Regulatory Region DNA Binding (GO:2000679),1/19,0.07306013893868027,0.2007446808221682,20.456183456183457,53.523038520532864,H1-0,Stim8hr,negative
gs_ind_0,Vesicle Transport Along Microtubule (GO:0047496),1/19,0.07306013893868027,0.2007446808221682,20.456183456183457,53.523038520532864,TRAK1,Stim8hr,negative
gs_ind_0,Triglyceride Homeostasis (GO:0070328),1/19,0.07306013893868027,0.2007446808221682,20.456183456183457,53.523038520532864,SCARB1,Stim8hr,negative
gs_ind_0,Nuclear-Transcribed mRNA poly(A) Tail Shortening (GO:0000289),1/20,0.07675695580500126,0.20148700898812832,19.405594405594407,49.81632004609675,PNLDC1,Stim8hr,negative
gs_ind_0,Regulation Of Extrinsic Apoptotic Signaling Pathway In Absence Of Ligand (GO:2001239),1/20,0.07675695580500126,0.20148700898812832,19.405594405594407,49.81632004609675,TERT,Stim8hr,negative
gs_ind_0,Osteoclast Differentiation (GO:0030316),1/20,0.07675695580500126,0.20148700898812832,19.405594405594407,49.81632004609675,FARP2,Stim8hr,negative
gs_ind_0,miRNA-mediated Gene Silencing (GO:0035195),1/20,0.07675695580500126,0.20148700898812832,19.405594405594407,49.81632004609675,XPO5,Stim8hr,negative
gs_ind_0,Negative Regulation Of Myeloid Cell Differentiation (GO:0045638),1/20,0.07675695580500126,0.20148700898812832,19.405594405594407,49.81632004609675,HSPA9,Stim8hr,negative
gs_ind_0,Response To Estradiol (GO:0032355),1/21,0.08043932276493664,0.2056448773294902,18.45750184774575,46.51755840617667,SSTR1,Stim8hr,negative
gs_ind_0,Regulation Of Mitochondrial Translation (GO:0070129),1/21,0.08043932276493664,0.2056448773294902,18.45750184774575,46.51755840617667,RCC1L,Stim8hr,negative
gs_ind_0,Regulation Of Neurotransmitter Receptor Activity (GO:0099601),1/21,0.08043932276493664,0.2056448773294902,18.45750184774575,46.51755840617667,BEGAIN,Stim8hr,negative
gs_ind_0,Regulation Of Transcription Regulatory Region DNA Binding (GO:2000677),1/23,0.08776092808899975,0.20641370286532743,16.814141414141414,40.911141339101,H1-0,Stim8hr,negative
gs_ind_0,Organophosphate Ester Transport (GO:0015748),1/23,0.08776092808899975,0.20641370286532743,16.814141414141414,40.911141339101,SCARB1,Stim8hr,negative
gs_ind_0,Telomere Maintenance Via Telomere Lengthening (GO:0010833),1/22,0.08410729515119537,0.20641370286532743,17.597603946441154,43.565718888409094,TERT,Stim8hr,negative
gs_ind_0,Regulation Of Myeloid Cell Differentiation (GO:0045637),1/23,0.08776092808899975,0.20641370286532743,16.814141414141414,40.911141339101,HSPA9,Stim8hr,negative
gs_ind_0,Positive Regulation Of Axonogenesis (GO:0050772),1/23,0.08776092808899975,0.20641370286532743,16.814141414141414,40.911141339101,L1CAM,Stim8hr,negative
gs_ind_0,Organelle Fusion (GO:0048284),1/22,0.08410729515119537,0.20641370286532743,17.597603946441154,43.565718888409094,RCC1L,Stim8hr,negative
gs_ind_0,Axonogenesis (GO:0007409),2/124,0.08725190318643498,0.20641370286532743,5.211235009467704,12.709972399270034,TUBB3;L1CAM,Stim8hr,negative
gs_ind_0,Semaphorin-Plexin Signaling Pathway (GO:0071526),1/22,0.08410729515119537,0.20641370286532743,17.597603946441154,43.565718888409094,FARP2,Stim8hr,negative
gs_ind_0,Nucleic Acid Metabolic Process (GO:0090304),1/23,0.08776092808899975,0.20641370286532743,16.814141414141414,40.911141339101,KPNA2,Stim8hr,negative
